Nama,VGA,Processor,Penyimpanan,Ukuran Layar,RAM,Keyboard,Tipe Layar,Harga,0,1,2,3
MSI MODERN 14 B11SB INTEL I7 1195G7 8GB 512GB MX450-2GB 14.0 FHD IPS BL WIN11HOME CARBON GREY,NVIDIA MX450,Intel Core i7,512GB,14 Inch,8GB,Backlit Keyboard,Non Touchscreen,12299000,NVIDIA RX6800,,,
MSI KATANA GF76 12UD INTEL I7 12700H 16GB 512GB RTX3060-6GB 17.3 IPS FHD 144HZ BL WIN11HOME BLACK,NVIDIA RTX3060,Intel Core i7,512GB,17 Inch,16GB,Backlit Keyboard,Non Touchscreen,19999000,NVIDIA RTX3080,,,
MSI KATANA GF76 12UD INTEL I7 12700H 16GB 512GB RTX3050TI-4GB 17.3 IPS FHD 144HZ BL WIN11HOME BLACK,NVIDIA RTX3050TI,Intel Core i7,512GB,17 Inch,16GB,Backlit Keyboard,Non Touchscreen,16999000,,,,
MSI KATANA GF66 12UD INTEL I7 12700H 16GB 512GB RTX3060-6GB 15.6 IPS FHD 144HZ BL WIN11HOME BLACK,NVIDIA RTX3060,Intel Core i7,512GB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,20499000,,,,
MSI KATANA GF66 12UD INTEL I7 12700H 16GB 512GB RTX3050TI-4GB 15.6 IPS FHD 144HZ BL WIN11HOME BLACK,NVIDIA RTX3050TI,Intel Core i7,512GB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,18499000,,,,
MSI KATANA GF66 12UD INTEL I7 12700H 16GB 1TB SSD RTX3070-8GB 15.6 IPS FHD 240HZ BL WIN11HOME BLACK,NVIDIA RTX3070,Intel Core i7,1TB,16 Inch,8GB,Backlit Keyboard,Non Touchscreen,22499000,,,,
MSI KATANA GF66 12UC INTEL I7 12700H 8GB 512GB RTX3050-4GB 15.6 IPS FHD 144HZ BL WIN11HOME BLACK,NVIDIA RTX3050,Intel Core i7,512GB,16 Inch,8GB,Backlit Keyboard,Non Touchscreen,15599000,,,,
MSI KATANA GF66 12UC INTEL I7 12700H 16GB 512GB RTX3050-4GB 15.6 IPS FHD 144HZ BL WIN11HOME BLACK,NVIDIA RTX3050,Intel Core i7,512GB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,16099000,,,,
MSI KATANA 15 B13VEK INTEL I7 13620H 16GB DDR5 1TB SSD RTX4060-8GB 15.6 FHD IPS 144HZ 4ZONE RGB WIN11HOME BLACK,NVIDIA RTX4060,Intel Core i7,1TB,16 Inch,8GB,Standart Keyboard,Non Touchscreen,21999000,,,,
MSI KATANA 15 B13VEK INTEL I7 13620H 16GB DDR5 1TB SSD RTX4050-6GB 15.6 FHD IPS 144HZ 4ZONE RGB WIN11HOME BLACK,NVIDIA RTX4050,Intel Core i7,1TB,16 Inch,16GB,Standart Keyboard,Non Touchscreen,19899000,,,,
MSI GS77 STEALH 12UHS INTEL I9 12900H 32GB 2TB SSD RTX3080TI-16GB 17.3 QHD 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX3080TI,Intel Core i9,2TB,17 Inch,16GB,Standart Keyboard,Non Touchscreen,64999000,,,,
MSI GS66 STEALTH INTEL I9 12900H 32GB DDR5 2TB SSD RTX3070TI-8GB 15.6 QHD IPS 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX3070TI,Intel Core i9,2TB,16 Inch,32GB,Standart Keyboard,Non Touchscreen,26499000,,,,
MSI GS66 STEALTH INTEL I9 12900H 32GB DDR5 1TB SSD RTX3070TI-8GB 15.6 QHD IPS 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX3070TI,Intel Core i9,1TB,15 Inch,32GB,Standart Keyboard,Non Touchscreen,25299000,,,,
MSI GS66 STEALH 12UHS INTEL I9 12900H 32GB 2TB SSD RTX3080TI-16GB 15.6 QHD 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX3080TI,Intel Core i9,2TB,16 Inch,16GB,Standart Keyboard,Non Touchscreen,59999000,,,,
MSI GS66 STEALH 12UGS INTEL I9 12900H 32GB 1TB SSD RTX3070TI-8GB 15.6 QHD 240HZ PKRGB WIN11HOME BLACK,NVIDIA RTX3070TI,Intel Core i9,1TB,16 Inch,8GB,Standart Keyboard,Non Touchscreen,42999000,,,,
MSI GL66 PULSE 12UEK INTEL I9 12900H 16GB 1TB SSD RTX3060-6GB 15.6 FHD IPS 165HZ RGB WIN11HOME GREY,NVIDIA RTX3060,Intel Core i9,1TB,16 Inch,16GB,Standart Keyboard,Non Touchscreen,25499000,,,,
MSI GF63 THIN 12VE INTEL I7 12650H 16GB 512GB RTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA RTX4050,Intel Core i7,512GB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,17199000,,,,
MSI GF63 THIN 12VE INTEL I7 12650H 16GB 512GB GTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX4050,Intel Core i7,512GB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,15799000,,,,
MSI GF63 THIN 12VE INTEL I7 12650H 16GB 1TB SSD RTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA RTX4050,Intel Core i7,1TB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,17599000,,,,
MSI GF63 THIN 12VE INTEL I7 12650H 16GB 1TB SSD GTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX4050,Intel Core i7,1TB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,16199000,,,,
MSI GF63 THIN 12VE INTEL I7 12650H 16GB 1TB GTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA RTX4050,Intel Core i7,1TB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,16199000,,,,
MSI GF63 THIN 12VE INTEL I5 12450H 16GB 512GB RTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA RTX4050,Intel Core i5,512GB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,14799000,,,,
MSI GF63 THIN 12VE INTEL I5 12450H 16GB 512GB GTX4060-8GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX4060,Intel Core i5,512GB,16 Inch,8GB,Backlit Keyboard,Non Touchscreen,15899000,,,,
MSI GF63 THIN 12VE INTEL I5 12450H 16GB 512GB GTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX4060,Intel Core i5,512GB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,13999000,,,,
MSI GF63 THIN 12VE INTEL I5 12450H 16GB 1TB SSD RTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA RTX4050,Intel Core i5,1TB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,15299000,,,,
MSI GF63 THIN 12VE INTEL I5 12450H 16GB 1TB SSD GTX4060-8GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX4060,Intel Core i5,1TB,16 Inch,8GB,Backlit Keyboard,Non Touchscreen,16399000,,,,
MSI GF63 THIN 12VE INTEL I5 12450H 16GB 1TB SSD GTX4050-6GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX4050,Intel Core i5,1TB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,14499000,,,,
MSI GF63 THIN 12UCX INTEL I5 12450H 8GB 512GB GTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX2050,Intel Core i5,512GB,16 Inch,8GB,Backlit Keyboard,Non Touchscreen,10699000,,,,
MSI GF63 THIN 12UCX INTEL I5 12450H 8GB 1TB SSD GTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX2050,Intel Core i5,1TB,16 Inch,8GB,Backlit Keyboard,Non Touchscreen,11099000,,,,
MSI GF63 THIN 12UCX INTEL I5 12450H 16GB 512GB GTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX2050,Intel Core i5,512GB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,11099000,,,,
MSI GF63 THIN 12UCX INTEL I5 12450H 16GB 1TB SSD GTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX2050,Intel Core i5,1TB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,11499000,,,,
MSI GF63 THIN 11UCX INTEL I5 11400H 8GB 512GB RTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA RTX2050,Intel Core i5,512GB,15 Inch,8GB,Backlit Keyboard,Non Touchscreen,10299000,,,,
MSI GF63 THIN 11UCX INTEL I5 11400H 8GB 1TB SSD RTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA RTX2050,Intel Core i5,1TB,15 Inch,8GB,Backlit Keyboard,Non Touchscreen,10799000,,,,
MSI GF63 THIN 11UCX INTEL I5 11400H 16GB 512GB RTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA RTX2050,Intel Core i5,512GB,15 Inch,16GB,Backlit Keyboard,Non Touchscreen,10799000,,,,
MSI GF63 THIN 11UCX INTEL I5 11400H 16GB 1TB SSD RTX2050-4GB 15.6 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA RTX2050,Intel Core i5,1TB,15 Inch,16GB,Backlit Keyboard,Non Touchscreen,11099000,,,,
MSI GF63 THIN 11SC INTEL I7 11800H 8GB 512GB GTX1650-4GB 14.0 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX1650,Intel Core i7,512GB,14 Inch,8GB,Backlit Keyboard,Non Touchscreen,10899000,,,,
MSI GF63 THIN 11SC INTEL I7 11800H 8GB 1TB SSD GTX1650-4GB 14.0 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX1650,Intel Core i7,1TB,14 Inch,8GB,Backlit Keyboard,Non Touchscreen,11299000,,,,
MSI GF63 THIN 11SC INTEL I7 11800H 16GB 512GB GTX1650-4GB 14.0 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX1650,Intel Core i7,512GB,14 Inch,16GB,Backlit Keyboard,Non Touchscreen,11399000,,,,
MSI GF63 THIN 11SC INTEL I7 11800H 16GB 1TB SSD GTX1650-4GB 14.0 FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA GTX1650,Intel Core i7,1TB,14 Inch,16GB,Backlit Keyboard,Non Touchscreen,11799000,,,,
